"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status"
"2486","Mugil","MT",2016,1387.05973808216,112.239780176071,1636.04944752395,4.49471723876975,0.115514642850118,122.067370403051,"No MPA"
"2487","Mugil","MT",2017,1783.84293402695,154.363618729516,2509.3571923629,0.729666938233584,0.0133447033988117,31.8445883417235,"No MPA"
"2488","Mugil","MT",2018,2152.61729458405,210.455862474023,3579.0548413405,0.112400162122691,0.00153319080942465,8.38814707798536,"No MPA"
"2489","Mugil","MT",2019,2438.10805695608,283.560269340196,4572.67900594198,0.016246487691002,0.000174623173209188,2.05465291761513,"No MPA"
"2490","Mugil","MT",2020,2621.50056764981,376.136648733572,5201.13158538314,0.00220408894914954,1.9655152199653e-05,0.450826528626341,"No MPA"
"2491","Mugil","MT",2021,2722.00788813042,488.989590431707,5453.65720253694,0.000283864042175769,2.17804883808308e-06,0.0880656468543058,"No MPA"
"2492","Mugil","MT",2022,2771.35139247845,619.937210202528,5523.56021610691,3.53048586980654e-05,2.36544808871451e-07,0.0158586783157307,"No MPA"
"2493","Mugil","MT",2023,2794.08924564766,762.760503293754,5539.71290397727,4.30547991619754e-06,2.50526929812263e-08,0.00275847376153786,"No MPA"
"2494","Mugil","MT",2024,2804.23740755468,907.366248264058,5543.24782989741,5.19942374579995e-07,2.57506957438321e-09,0.000475124763994937,"No MPA"
"2495","Mugil","MT",2025,2808.6995322713,1041.90283034355,5544.01147054104,6.25049952927401e-08,2.55904910992723e-10,8.16498434581016e-05,"No MPA"
"2496","Mugil","MT",2026,2810.64840831225,1156.34281428635,5544.17595573099,7.49877387421424e-09,2.45481933225599e-11,1.40244498691709e-05,"No MPA"
"2497","Mugil","MT",2027,2811.49708611524,1245.5483913413,5544.21136063177,8.98827875596787e-10,2.2760204811468e-12,2.4086260167132e-06,"No MPA"
"2498","Mugil","MT",2028,2811.86618270634,1309.89412911352,5544.21897991406,1.07694292469973e-10,2.04808571964127e-13,4.13659307247674e-07,"No MPA"
"2499","Mugil","MT",2029,2812.02661530026,1353.48537752727,5544.22061948226,1.29013375590813e-11,1.79937716532041e-14,7.1041815428099e-08,"No MPA"
"2500","Mugil","MT",2030,2812.09633231217,1381.67228092052,5544.2209722785,1.54541298732369e-12,1.55323945869066e-15,1.22007023837185e-08,"No MPA"
"2501","Mugil","MT",2031,2812.12662505979,1399.32046794208,5544.22104818923,1.85114469130317e-13,1.32461282942165e-16,2.09534487837458e-09,"No MPA"
"2502","Mugil","MT",2032,2812.13978695611,1410.13914134534,5544.22106452241,2.21732873677197e-14,1.12072821852041e-17,3.59853867587609e-10,"No MPA"
"2503","Mugil","MT",2033,2812.14550555361,1416.68321226957,5544.22106803663,2.65593327191814e-15,9.43505386024411e-19,6.18011888938718e-11,"No MPA"
"2504","Mugil","MT",2034,2812.14799015543,1420.60917377388,5544.22106879273,3.18128870898391e-16,7.91871134818204e-20,1.06137165218471e-11,"No MPA"
"2505","Mugil","MT",2035,2812.14906965486,1422.95271933215,5544.22106895541,3.81055741058929e-17,6.63369897546986e-21,1.82279629836149e-12,"No MPA"
"2506","Mugil","MT_20",2015,1239.76159723722,102.701387480402,1175.04765342854,39.5261280403591,1.54186440150383,1013.25569614777,"No MPA"
"2507","Mugil","MT_20",2016,1677.78402964734,141.851815322297,1752.00308414528,7.86472043126204,0.214157582265417,183.673454194956,"No MPA"
"2508","Mugil","MT_20",2017,2157.62874611239,194.884152302747,2710.97938123396,1.54390084554691,0.0300050148542566,56.8058478085019,"No MPA"
"2509","Mugil","MT_20",2018,2604.48382678155,265.345357980352,3960.21776218649,0.288004937517588,0.00418155323398432,18.2327975543543,"No MPA"
"2510","Mugil","MT_20",2019,2950.92147008405,356.882804313408,5227.1342726337,0.0504296852188875,0.000577530902713472,5.52480848575146,"No MPA"
"2511","Mugil","MT_20",2020,3173.72888473467,472.30328046669,6129.96783849791,0.00828828730352915,7.87938994892742e-05,1.51263819484865,"No MPA"
"2512","Mugil","MT_20",2021,3295.94360137441,612.210339030136,6542.33593515446,0.0012930647611726,1.05777169452678e-05,0.367963211779348,"No MPA"
"2513","Mugil","MT_20",2022,3355.97624681643,773.383546979822,6666.96503192288,0.000194793268490559,1.39083810357612e-06,0.0814619035005839,"No MPA"
"2514","Mugil","MT_20",2023,3383.64750602069,947.623895078747,6696.77525622768,2.87711337556869e-05,1.78228382345756e-07,0.0172197012957086,"No MPA"
"2515","Mugil","MT_20",2024,3395.99915982407,1122.22323245121,6703.36497965808,4.2079176296659e-06,2.21526210528315e-08,0.00358788847275604,"No MPA"
"2516","Mugil","MT_20",2025,3401.43048560958,1282.83413145186,6704.79342895736,6.1262363861377e-07,2.66119509031863e-09,0.000744975280284084,"No MPA"
"2517","Mugil","MT_20",2026,3403.80273345749,1417.89436017698,6705.10170630313,8.90085763344098e-08,3.0858682422059e-10,0.000154564654021895,"No MPA"
"2518","Mugil","MT_20",2027,3404.83578932296,1522.06134276298,6705.16816885041,1.2920482263762e-08,3.45988021206277e-11,3.20631319609825e-05,"No MPA"
"2519","Mugil","MT_20",2028,3405.28507567789,1596.53108944712,6705.18249382027,1.87479852410006e-09,3.76756153062407e-12,6.65098603398235e-06,"No MPA"
"2520","Mugil","MT_20",2029,3405.48036422304,1646.63620968935,6705.18558100375,2.7199191722823e-10,4.00882487616547e-13,1.37963039030094e-06,"No MPA"
"2521","Mugil","MT_20",2030,3405.56522819428,1678.87777899986,6705.18624627577,3.94570848830601e-11,4.19420068651092e-14,2.86179645258856e-07,"No MPA"
"2522","Mugil","MT_20",2031,3405.60210246464,1698.99909010398,6705.18638962933,5.72374017598653e-12,4.33793142847587e-15,5.93628267068026e-08,"No MPA"
"2523","Mugil","MT_20",2032,3405.61812396981,1711.30818985939,6705.18642051748,8.30287894903811e-13,4.45316654989158e-16,1.23137510955381e-08,"No MPA"
