"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"1357","Panulirus","MT_20",2034,357.010102212441,113.900896763413,1062.58558726899,21.0896796869644,4.42435246603938,112.785979872025,"MPA 2015",0.0603557880439821
"1358","Panulirus","MT_20",2035,360.213368319228,114.824547869953,1070.02269996824,20.8466801006881,4.36626893989902,111.230025456215,"MPA 2015",0.0590630237890778
"1359","Panulirus","MT_40",2015,223.904713323117,115.439045493533,386.937970958144,18.8957205569745,6.91197896529101,51.6564860869758,"MPA 2015",0.0915685841313593
"1360","Panulirus","MT_40",2016,241.389005737292,115.843455545907,468.819533123258,19.9863590016562,6.76232424111204,61.7562850913853,"MPA 2015",0.089606871140717
"1361","Panulirus","MT_40",2017,258.535228124612,116.347520220838,558.254481028088,21.0129884284885,6.62496308918806,72.7921540674983,"MPA 2015",0.0876872190481377
"1362","Panulirus","MT_40",2018,275.08937927626,116.937142234059,651.59391966731,21.9590009214512,6.49817991211963,84.3815833325987,"MPA 2015",0.0858087246490062
"1363","Panulirus","MT_40",2019,290.83676871382,117.600826013737,744.162529265716,22.8108441082306,6.38051015272756,95.9961021421072,"MPA 2015",0.083970503773752
"1364","Panulirus","MT_40",2020,305.615917847969,118.329073810674,831.20979601238,23.5587151922185,6.27069682012683,107.027980979302,"MPA 2015",0.0821716909683096
"1365","Panulirus","MT_40",2021,319.324273399443,119.113892360986,909.003849774133,24.1968902518314,6.16765620497701,116.897779867797,"MPA 2015",0.080411439189186
"1366","Panulirus","MT_40",2022,331.915892363513,119.948405863829,975.509222386498,24.7236744776749,6.07045057312375,125.168693181217,"MPA 2015",0.0786889195038889
"1367","Panulirus","MT_40",2023,343.393303670831,120.826564179089,1030.40065647778,25.141020369062,5.9782662084721,131.622195133334,"MPA 2015",0.0770033207887773
"1368","Panulirus","MT_40",2024,353.79650173505,121.742931175397,1074.61491203516,25.4539054867468,5.89039559080924,136.266318899629,"MPA 2015",0.0753538494187243
"1369","Panulirus","MT_40",2025,363.191597291216,122.69253700643,1109.77516744457,25.6695810448759,5.80622279427983,139.283153353944,"MPA 2015",0.0737397289457238
"1370","Panulirus","MT_40",2026,371.660699985291,123.670779006207,1137.70492648282,25.7967978185058,5.72521141189953,140.948745652283,"MPA 2015",0.0721601997661436
"1371","Panulirus","MT_40",2027,379.29371848304,124.673357978842,1160.11107742341,25.8450934657714,5.64689447428147,141.560045579216,"MPA 2015",0.0706145187783159
"1372","Panulirus","MT_40",2028,386.182178853028,125.696239179876,1178.4292616516,25.8241949810098,5.57086595270705,141.387106735424,"MPA 2015",0.0691019590333846
"1373","Panulirus","MT_40",2029,392.414864595411,126.73562975874,1193.78494952131,25.7435601705646,5.49677352895549,140.651466839732,"MPA 2015",0.06762180938283
"1374","Panulirus","MT_40",2030,398.074969424934,127.787966595883,1207.0187656587,25.6120582745282,5.42431238476014,139.52284374979,"MPA 2015",0.0661733741260211
"1375","Panulirus","MT_40",2031,403.238437514827,128.849910227818,1218.73761997771,25.4377742640695,5.3532198179639,138.125324657705,"MPA 2015",0.0647559726607091
"1376","Panulirus","MT_40",2032,407.973192452492,129.918341911023,1229.36928355234,25.2279134930485,5.28327053441489,136.546777473731,"MPA 2015",0.063368939138763
"1377","Panulirus","MT_40",2033,412.338999475603,130.990361882268,1239.21018429584,24.9887814824523,5.21427249729418,134.848095714068,"MPA 2015",0.0620116221288073
